City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,talara,-4.5772,-81.2719,22.09,78,81,6.38,PE,1713323287
338,myeik,12.4333,98.6,31.33,65,17,1.64,MM,1713323529
339,preston,53.7667,-2.7167,6.99,77,49,6.67,GB,1713323529
340,alcaniz,41.05,-0.1333,9.44,64,1,11.49,ES,1713323529
341,hammerfest,70.6634,23.6821,-3.75,68,100,1.54,NO,1713323288
342,lospalos,-8.5186,127.0025,28.22,64,87,5.15,TL,1713323530
343,tamandare,-8.7597,-35.1047,26.45,81,100,1.49,BR,1713323530
344,san luis de la loma,17.2706,-100.8939,25.9,72,23,2.45,MX,1713323288
345,nuku'alofa,-21.1333,-175.2,28.19,74,75,5.66,TO,1713323289
346,sinabang,2.4803,96.3801,27.63,80,100,0.88,ID,1713323289
347,tucuma,-0.1833,-50.05,25.43,94,100,2.24,BR,1713323289
348,zemio,5.0314,25.1361,22.66,81,100,1.25,CF,1713323530
349,aberystwyth,52.4155,-4.0829,5.95,79,51,9.91,GB,1713323531
350,chom thong,18.4174,98.6743,36.16,29,0,1.41,TH,1713323531
351,vychegodskiy,61.247,46.8984,4.45,88,100,3.57,RU,1713323531
352,gofitskoye,45.0792,43.0464,16.27,54,66,1.66,RU,1713323290
353,waddan,29.1614,16.139,17.8,59,0,3.03,LY,1713323531
354,al wajh,26.2455,36.4525,22.97,31,0,2.57,SA,1713323531
355,salcininkai,54.3,25.3833,4.05,93,100,4.64,LT,1713323290
356,san patricio,28.017,-97.5169,24.97,91,100,4.99,US,1713323291
357,plettenberg bay,-34.0527,23.3716,22.33,54,0,3.21,ZA,1713323291
358,tadine,-21.55,167.8833,25.77,60,91,7.02,NC,1713323291
